item_id,class,depth,entity_type,salience_flag,A_id,A_name,B_id,B_name,M_id,M_name,premise_1,premise_2,ground_truth,seed
P016,definite,2,place,salient,https://w3id.org/qpm/data/os/place_12214,Maes-Tir-Bach Cottage,https://w3id.org/qpm/data/os/place_12159,Tor Clawdd,https://w3id.org/qpm/data/os/place_12150,Blaen-yr-Olchfa-Fâch,Blaen-yr-Olchfa-Fâch is the primary west neighbour of Tor Clawdd,Maes-Tir-Bach Cottage is the primary west neighbour of Blaen-yr-Olchfa-Fâch,west,20260620
P017,definite,2,place,non_salient,https://w3id.org/qpm/data/os/place_22284,Bodelwyddan Park,https://w3id.org/qpm/data/os/place_22274,Coed Bryn-y-pin,https://w3id.org/qpm/data/os/place_22279,Kinmel Lodge,Kinmel Lodge is the primary east neighbour of Coed Bryn-y-pin,Bodelwyddan Park is the primary east neighbour of Kinmel Lodge,east,20260620
P018,definite,2,place,non_salient,https://w3id.org/qpm/data/os/place_22847,Cwm Eunant,https://w3id.org/qpm/data/os/place_22837,Eunant Fawr,https://w3id.org/qpm/data/os/place_22840,Eunant Fach,Eunant Fach is the primary east neighbour of Eunant Fawr,Cwm Eunant is the primary east neighbour of Eunant Fach,east,20260620
P019,definite,2,place,non_salient,https://w3id.org/qpm/data/os/place_35670,Moel Garegog,https://w3id.org/qpm/data/os/place_35659,Coed Llûs,https://w3id.org/qpm/data/os/place_35662,Hen Ffynnon Wen,Hen Ffynnon Wen is the primary east neighbour of Coed Llûs,Moel Garegog is the primary east neighbour of Hen Ffynnon Wen,east,20260620
P020,definite,2,place,salient,https://w3id.org/qpm/data/os/place_3815,Pentre Cilcwm,https://w3id.org/qpm/data/os/place_3811,Mynydd Cil-cwm,https://w3id.org/qpm/data/os/place_3816,Cilcwm-Fach,Cilcwm-Fach is the primary east neighbour of Mynydd Cil-cwm,Pentre Cilcwm is the primary east neighbour of Cilcwm-Fach,east,20260620
P021,definite,2,place,salient,https://w3id.org/qpm/data/os/place_44976,Cae'r-Lan,https://w3id.org/qpm/data/os/place_44977,Nant Llanilid,https://w3id.org/qpm/data/os/place_44975,Nant Erin,Nant Erin is the primary north neighbour of Nant Llanilid,Cae'r-Lan is the primary north neighbour of Nant Erin,north,20260620
P022,definite,2,place,salient,https://w3id.org/qpm/data/os/place_45306,Castle-upon-Alun,https://w3id.org/qpm/data/os/place_45188,Old Breach Farm,https://w3id.org/qpm/data/os/place_45198,Ysgubor y Parcau,Ysgubor y Parcau is the primary west neighbour of Old Breach Farm,Castle-upon-Alun is the primary west neighbour of Ysgubor y Parcau,west,20260620
P023,definite,2,place,salient,https://w3id.org/qpm/data/os/place_45494,Leason Pill,https://w3id.org/qpm/data/os/place_45646,Long Acres,https://w3id.org/qpm/data/os/place_45648,Weobley Castle Farm,Weobley Castle Farm is the primary north neighbour of Long Acres,Leason Pill is the primary north neighbour of Weobley Castle Farm,north,20260620
P024,definite,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000154,Efenechtyd,https://w3id.org/qpm/data/admin/W04000144,Bryneglwys,https://w3id.org/qpm/data/admin/W04000162,Llanelidan,Llanelidan is the primary north neighbour of Bryneglwys,Efenechtyd is the primary north neighbour of Llanelidan,north,20260620
P025,definite,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000164,Llanferres,https://w3id.org/qpm/data/admin/W04000991,Halkyn Community,https://w3id.org/qpm/data/admin/W04000184,Cilcain Community,Cilcain Community is the primary south neighbour of Halkyn Community,Llanferres is the primary south neighbour of Cilcain Community,south,20260620
P026,definite,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000239,Penycae Community,https://w3id.org/qpm/data/admin/W04000899,Marchwiel Community,https://w3id.org/qpm/data/admin/W04000225,Esclusham Community,Esclusham Community is the primary west neighbour of Marchwiel Community,Penycae Community is the primary west neighbour of Esclusham Community,west,20260620
P027,definite,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000241,Rhosllanerchrugog Community,https://w3id.org/qpm/data/admin/W04000894,Coedpoeth Community,https://w3id.org/qpm/data/admin/W04000225,Esclusham Community,Esclusham Community is the primary south neighbour of Coedpoeth Community,Rhosllanerchrugog Community is the primary south neighbour of Esclusham Community,south,20260620
P028,definite,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000298,Llanerfyl,https://w3id.org/qpm/data/admin/W04000348,Trefeglwys Community,https://w3id.org/qpm/data/admin/W04000260,Carno,Carno is the primary north neighbour of Trefeglwys Community,Llanerfyl is the primary north neighbour of Carno,north,20260620
P029,definite,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000650-gibbonsdown,Gibbonsdown,https://w3id.org/qpm/data/admin/W04000650-cadoc,Cadoc,https://w3id.org/qpm/data/admin/W04000650-court,Court,Court is the primary west neighbour of Cadoc,Gibbonsdown is the primary west neighbour of Court,west,20260620
P030,definite,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000987,Upper Cwmbran Community,https://w3id.org/qpm/data/admin/W04000764,Henllys,https://w3id.org/qpm/data/admin/W04000983,Fairwater Community,Fairwater Community is the primary north neighbour of Henllys,Upper Cwmbran Community is the primary north neighbour of Fairwater Community,north,20260620
P031,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_10022,Aberyscir,https://w3id.org/qpm/data/os/place_10140,Cil-Rhûdd,https://w3id.org/qpm/data/os/place_10142,Tor-y-ffynnon,Tor-y-ffynnon is the primary south neighbour of Cil-Rhûdd,Aberyscir is the primary east neighbour of Tor-y-ffynnon,east|south,20260620
P032,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_10514,Tre-Banog-Fawr,https://w3id.org/qpm/data/os/place_10531,Voel Cottages,https://w3id.org/qpm/data/os/place_10518,Tre-Banog-Fach,Tre-Banog-Fach is the primary south neighbour of Voel Cottages,Tre-Banog-Fawr is the primary east neighbour of Tre-Banog-Fach,east|south,20260620
P033,disjunctive,2,place,non_salient,https://w3id.org/qpm/data/os/place_11182,Twr y Fan Foel,https://w3id.org/qpm/data/os/place_10875,Llyn y Fan Fawr,https://w3id.org/qpm/data/os/place_11183,Fan Brycheiniog,Fan Brycheiniog is the primary west neighbour of Llyn y Fan Fawr,Twr y Fan Foel is the primary north neighbour of Fan Brycheiniog,north|west,20260620
P034,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_15039,Llettyllwydrew Farm,https://w3id.org/qpm/data/os/place_15250,Cefn-Goleu,https://w3id.org/qpm/data/os/place_15249,Allt Pen-deri,Allt Pen-deri is the primary west neighbour of Cefn-Goleu,Llettyllwydrew Farm is the primary north neighbour of Allt Pen-deri,north|west,20260620
P035,disjunctive,2,place,non_salient,https://w3id.org/qpm/data/os/place_17727,Gwarllwyn Wood,https://w3id.org/qpm/data/os/place_17493,Afon Clyn-maen,https://w3id.org/qpm/data/os/place_17503,Foeldrygarn,Foeldrygarn is the primary east neighbour of Afon Clyn-maen,Gwarllwyn Wood is the primary south neighbour of Foeldrygarn,east|south,20260620
P036,disjunctive,2,place,non_salient,https://w3id.org/qpm/data/os/place_26022,Mynydd Glan-llyn-y-forwyn,https://w3id.org/qpm/data/os/place_26320,Clip,https://w3id.org/qpm/data/os/place_26019,Llyn Cwm Mynach,Llyn Cwm Mynach is the primary south neighbour of Clip,Mynydd Glan-llyn-y-forwyn is the primary east neighbour of Llyn Cwm Mynach,east|south,20260620
P037,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_27491,Shore House,https://w3id.org/qpm/data/os/place_27480,Llangoed,https://w3id.org/qpm/data/os/place_27408,Llain-y-delyn,Llain-y-delyn is the primary north neighbour of Llangoed,Shore House is the primary east neighbour of Llain-y-delyn,north|east,20260620
P038,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_28332,Cae'r-Geiliog,https://w3id.org/qpm/data/os/place_27942,Garth Mountain,https://w3id.org/qpm/data/os/place_28344,Pant-y-Siglan,Pant-y-Siglan is the primary south neighbour of Garth Mountain,Cae'r-Geiliog is the primary west neighbour of Pant-y-Siglan,south|west,20260620
P039,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_30477,Rhedynog Felen Fawr,https://w3id.org/qpm/data/os/place_27266,Traeth Abermaw / Barmouth Beach,https://w3id.org/qpm/data/os/place_32254,Ynysgain Fawr,Ynysgain Fawr is the primary west neighbour of Traeth Abermaw / Barmouth Beach,Rhedynog Felen Fawr is the primary north neighbour of Ynysgain Fawr,north|west,20260620
P040,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_32724,Capel Newydd,https://w3id.org/qpm/data/os/place_32732,Coed Rhôs-gwerthyr,https://w3id.org/qpm/data/os/place_32727,Gwinllan Rhos-capel-newydd,Gwinllan Rhos-capel-newydd is the primary south neighbour of Coed Rhôs-gwerthyr,Capel Newydd is the primary west neighbour of Gwinllan Rhos-capel-newydd,south|west,20260620
P041,disjunctive,2,place,non_salient,https://w3id.org/qpm/data/os/place_33086,Hall Green,https://w3id.org/qpm/data/os/place_33091,Mannings Green,https://w3id.org/qpm/data/os/place_33090,Mannings Lane Cottage,Mannings Lane Cottage is the primary west neighbour of Mannings Green,Hall Green is the primary north neighbour of Mannings Lane Cottage,north|west,20260620
P042,disjunctive,2,place,non_salient,https://w3id.org/qpm/data/os/place_34845,Pen-y-bryn Dingle,https://w3id.org/qpm/data/os/place_34831,Llyn y Briw,https://w3id.org/qpm/data/os/place_34861,Wenallt Cottage,Wenallt Cottage is the primary east neighbour of Llyn y Briw,Pen-y-bryn Dingle is the primary south neighbour of Wenallt Cottage,east|south,20260620
P043,disjunctive,2,place,non_salient,https://w3id.org/qpm/data/os/place_40074,Afon Corris,https://w3id.org/qpm/data/os/place_39926,Coed Pen-bedw,https://w3id.org/qpm/data/os/place_40077,Capel Corris,Capel Corris is the primary south neighbour of Coed Pen-bedw,Afon Corris is the primary west neighbour of Capel Corris,south|west,20260620
P044,disjunctive,2,place,salient,https://w3id.org/qpm/data/os/place_45873,Scurlage,https://w3id.org/qpm/data/os/place_45870,Llanddewi,https://w3id.org/qpm/data/os/place_45869,Monksland Farm,Monksland Farm is the primary south neighbour of Llanddewi,Scurlage is the primary east neighbour of Monksland Farm,east|south,20260620
P045,disjunctive,2,place,non_salient,https://w3id.org/qpm/data/os/place_6773,Coed y Cym,https://w3id.org/qpm/data/os/place_6727,Afon Clarach,https://w3id.org/qpm/data/os/place_6772,Cwm Hedd,Cwm Hedd is the primary south neighbour of Afon Clarach,Coed y Cym is the primary west neighbour of Cwm Hedd,south|west,20260620
P046,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000050,Betws Garmon Community,https://w3id.org/qpm/data/admin/W04000051,Bontnewydd Community,https://w3id.org/qpm/data/admin/W04000103,Waunfawr Community,Waunfawr Community is the primary east neighbour of Bontnewydd Community,Betws Garmon Community is the primary south neighbour of Waunfawr Community,east|south,20260620
P047,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000054,Bryn-Crug,https://w3id.org/qpm/data/admin/W04000044,Arthog Community,https://w3id.org/qpm/data/admin/W04000078,Llanfihangel-y-Pennant,Llanfihangel-y-Pennant is the primary south neighbour of Arthog Community,Bryn-Crug is the primary west neighbour of Llanfihangel-y-Pennant,south|west,20260620
P048,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000056-peblig,Peblig,https://w3id.org/qpm/data/admin/W04000087-rhosgadfan,Rhosgadfan,https://w3id.org/qpm/data/admin/W04000103-caethro,Caethro,Caethro is the primary north neighbour of Rhosgadfan,Peblig is the primary west neighbour of Caethro,north|west,20260620
P049,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000329,Meifod,https://w3id.org/qpm/data/admin/W04000262,Castle Caereinion,https://w3id.org/qpm/data/admin/W04000279,Guilsfield Community,Guilsfield Community is the primary north neighbour of Castle Caereinion,Meifod is the primary west neighbour of Guilsfield Community,north|west,20260620
P050,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000341,Rhayader Community,https://w3id.org/qpm/data/admin/W04000333,Nantmel,https://w3id.org/qpm/data/admin/W04000322,Llanwrthwl,Llanwrthwl is the primary west neighbour of Nantmel,Rhayader Community is the primary north neighbour of Llanwrthwl,north|west,20260620
P051,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000359,Aberystwyth Community,https://w3id.org/qpm/data/admin/W04000378,Llanfarian Community,https://w3id.org/qpm/data/admin/W04000372,Llanbadarn Fawr Community,Llanbadarn Fawr Community is the primary north neighbour of Llanfarian Community,Aberystwyth Community is the primary west neighbour of Llanbadarn Fawr Community,north|west,20260620
P052,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000367,Faenor Community,https://w3id.org/qpm/data/admin/W04000359,Aberystwyth Community,https://w3id.org/qpm/data/admin/W04000372,Llanbadarn Fawr Community,Llanbadarn Fawr Community is the primary east neighbour of Aberystwyth Community,Faenor Community is the primary north neighbour of Llanbadarn Fawr Community,north|east,20260620
P053,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000551,Pencarreg,https://w3id.org/qpm/data/admin/W04000536,Llanllwni,https://w3id.org/qpm/data/admin/W04000544,Llanybydder Community,Llanybydder Community is the primary east neighbour of Llanllwni,Pencarreg is the primary north neighbour of Llanybydder Community,north|east,20260620
P054,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000629-godre-r-graig,Godre'r Graig,https://w3id.org/qpm/data/admin/W04000606-allt-wen,Allt-wen,https://w3id.org/qpm/data/admin/W04000621-pontardawe,Pontardawe,Pontardawe is the primary north neighbour of Allt-wen,Godre'r Graig is the primary east neighbour of Pontardawe,north|east,20260620
P055,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000633,Coity Higher Community,https://w3id.org/qpm/data/admin/W04000647,Ynysawdre Community,https://w3id.org/qpm/data/admin/W04000642,Newcastle Higher Community,Newcastle Higher Community is the primary south neighbour of Ynysawdre Community,Coity Higher Community is the primary east neighbour of Newcastle Higher Community,east|south,20260620
P056,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000746-abertysswg,Abertysswg,https://w3id.org/qpm/data/admin/W04000741-cwmsyfiog,Cwmsyfiog,https://w3id.org/qpm/data/admin/W04000758-central-and-west,Central and West,Central and West is the primary north neighbour of Cwmsyfiog,Abertysswg is the primary west neighbour of Central and West,north|west,20260620
P057,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000820,Llanvaches,https://w3id.org/qpm/data/admin/W04000818,Langstone Community,https://w3id.org/qpm/data/admin/W04000826,Penhow,Penhow is the primary east neighbour of Langstone Community,Llanvaches is the primary north neighbour of Penhow,north|east,20260620
P058,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000828,Redwick,https://w3id.org/qpm/data/admin/W04001079,Rogiet,https://w3id.org/qpm/data/admin/W04001073,Magor with Undy Community,Magor with Undy Community is the primary south neighbour of Rogiet,Redwick is the primary west neighbour of Magor with Undy Community,south|west,20260620
P059,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04001008,Trowbridge,https://w3id.org/qpm/data/admin/W04000888,Old St. Mellons,https://w3id.org/qpm/data/admin/W04000823,Marshfield,Marshfield is the primary east neighbour of Old St. Mellons,Trowbridge is the primary south neighbour of Marshfield,east|south,20260620
P060,disjunctive,2,unit,n/a,https://w3id.org/qpm/data/admin/W04001084,Whitecastle Community,https://w3id.org/qpm/data/admin/W04001078,Raglan Community,https://w3id.org/qpm/data/admin/W04001075,Mitchel Troy Community,Mitchel Troy Community is the primary east neighbour of Raglan Community,Whitecastle Community is the primary north neighbour of Mitchel Troy Community,north|east,20260620
P061,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_11724,Gellifowy-Ganol,https://w3id.org/qpm/data/os/place_12066,PONTARDAWE,https://w3id.org/qpm/data/os/place_11730,Ynysmeudwy,Ynysmeudwy is the primary east neighbour of PONTARDAWE,Gellifowy-Ganol is the primary west neighbour of Ynysmeudwy,UNDET,20260620
P062,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_21219,Ffynnon-Watty,https://w3id.org/qpm/data/os/place_21166,Cwm Connell,https://w3id.org/qpm/data/os/place_21214,Glandwr-Ceibwr,Glandwr-Ceibwr is the primary west neighbour of Cwm Connell,Ffynnon-Watty is the primary east neighbour of Glandwr-Ceibwr,UNDET,20260620
P063,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_23494,Hafod-y-dre-uchaf,https://w3id.org/qpm/data/os/place_23912,Nant y Creau,https://w3id.org/qpm/data/os/place_23490,Cefnen Wen,Cefnen Wen is the primary north neighbour of Nant y Creau,Hafod-y-dre-uchaf is the primary south neighbour of Cefnen Wen,UNDET,20260620
P064,underdetermined,2,place,non_salient,https://w3id.org/qpm/data/os/place_25539,Bryn yr Helfa,https://w3id.org/qpm/data/os/place_25547,Llyn Tryweryn,https://w3id.org/qpm/data/os/place_25527,Moel y Slates,Moel y Slates is the primary south neighbour of Llyn Tryweryn,Bryn yr Helfa is the primary north neighbour of Moel y Slates,UNDET,20260620
P065,underdetermined,2,place,non_salient,https://w3id.org/qpm/data/os/place_27035,Nant Cwm-dwr,https://w3id.org/qpm/data/os/place_26824,Moel Maes-y-wern-goch,https://w3id.org/qpm/data/os/place_27029,Mynydd Cefn-caer,Mynydd Cefn-caer is the primary west neighbour of Moel Maes-y-wern-goch,Nant Cwm-dwr is the primary east neighbour of Mynydd Cefn-caer,UNDET,20260620
P066,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_27987,Cefn Farmhouse,https://w3id.org/qpm/data/os/place_27780,Pontwgan,https://w3id.org/qpm/data/os/place_27777,Tyddyn-y-Bluen,Tyddyn-y-Bluen is the primary west neighbour of Pontwgan,Cefn Farmhouse is the primary east neighbour of Tyddyn-y-Bluen,UNDET,20260620
P067,underdetermined,2,place,non_salient,https://w3id.org/qpm/data/os/place_28206,Pen yr Helgi Du,https://w3id.org/qpm/data/os/place_28477,Nant Tal-y-waun,https://w3id.org/qpm/data/os/place_28231,Dulyn Bothy,Dulyn Bothy is the primary north neighbour of Nant Tal-y-waun,Pen yr Helgi Du is the primary south neighbour of Dulyn Bothy,UNDET,20260620
P068,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_31246,Erw Fach,https://w3id.org/qpm/data/os/place_30060,Frogwy Fawr,https://w3id.org/qpm/data/os/place_31241,Tyddyn-Siencyn,Tyddyn-Siencyn is the primary west neighbour of Frogwy Fawr,Erw Fach is the primary east neighbour of Tyddyn-Siencyn,UNDET,20260620
P069,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_32745,Pandy Saethon,https://w3id.org/qpm/data/os/place_32727,Gwinllan Rhos-capel-newydd,https://w3id.org/qpm/data/os/place_32741,Pen y Sgoits,Pen y Sgoits is the primary east neighbour of Gwinllan Rhos-capel-newydd,Pandy Saethon is the primary west neighbour of Pen y Sgoits,UNDET,20260620
P070,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_34396,Forest Hills,https://w3id.org/qpm/data/os/place_34384,Rhosywaun,https://w3id.org/qpm/data/os/place_34393,Halton,Halton is the primary east neighbour of Rhosywaun,Forest Hills is the primary west neighbour of Halton,UNDET,20260620
P071,underdetermined,2,place,non_salient,https://w3id.org/qpm/data/os/place_3729,Afon Cerniog,https://w3id.org/qpm/data/os/place_3736,Coed yr Hendre,https://w3id.org/qpm/data/os/place_3724,Bryn y Gadair,Bryn y Gadair is the primary south neighbour of Coed yr Hendre,Afon Cerniog is the primary north neighbour of Bryn y Gadair,UNDET,20260620
P072,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_37401,Caerwys Hall Farm,https://w3id.org/qpm/data/os/place_37487,Coed y Ffrith,https://w3id.org/qpm/data/os/place_37779,Plâs-Cerrig Farm,Plâs-Cerrig Farm is the primary west neighbour of Coed y Ffrith,Caerwys Hall Farm is the primary east neighbour of Plâs-Cerrig Farm,UNDET,20260620
P073,underdetermined,2,place,non_salient,https://w3id.org/qpm/data/os/place_42233,Coed Cae Aberaman,https://w3id.org/qpm/data/os/place_42133,Coed Penrhiw-angen,https://w3id.org/qpm/data/os/place_42231,Cae'r Coed Cue,Cae'r Coed Cue is the primary south neighbour of Coed Penrhiw-angen,Coed Cae Aberaman is the primary north neighbour of Cae'r Coed Cue,UNDET,20260620
P074,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_42916,Roath Park,https://w3id.org/qpm/data/os/place_42975,Rhydypennau Wood,https://w3id.org/qpm/data/os/place_12242,Bryn Bâch Common,Bryn Bâch Common is the primary west neighbour of Rhydypennau Wood,Roath Park is the primary east neighbour of Bryn Bâch Common,UNDET,20260620
P075,underdetermined,2,place,salient,https://w3id.org/qpm/data/os/place_43537,Saxonbury,https://w3id.org/qpm/data/os/place_43362,Cwm Coed-drwg,https://w3id.org/qpm/data/os/place_43325,Middleton Plantation,Middleton Plantation is the primary south neighbour of Cwm Coed-drwg,Saxonbury is the primary north neighbour of Middleton Plantation,UNDET,20260620
P076,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000049-gerlan,Gerlan,https://w3id.org/qpm/data/admin/W04000082-isaf,Isaf,https://w3id.org/qpm/data/admin/W04000082-uchaf,Uchaf,Uchaf is the primary east neighbour of Isaf,Gerlan is the primary west neighbour of Uchaf,UNDET,20260620
P077,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000086,Llanrug Community,https://w3id.org/qpm/data/admin/W04000104,Y Felinheli,https://w3id.org/qpm/data/admin/W04000070,Llanddeiniolen Community,Llanddeiniolen Community is the primary east neighbour of Y Felinheli,Llanrug Community is the primary west neighbour of Llanddeiniolen Community,UNDET,20260620
P078,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000144,Bryneglwys,https://w3id.org/qpm/data/admin/W04000232,Llansantffraid Glyn Ceiriog,https://w3id.org/qpm/data/admin/W04000147,Corwen Community,Corwen Community is the primary west neighbour of Llansantffraid Glyn Ceiriog,Bryneglwys is the primary east neighbour of Corwen Community,UNDET,20260620
P079,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000171-north-west,North West,https://w3id.org/qpm/data/admin/W04000173-trellewelyn,Trellewelyn,https://w3id.org/qpm/data/admin/W04000171-south-west,South West,South West is the primary east neighbour of Trellewelyn,North West is the primary west neighbour of South West,UNDET,20260620
P080,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000233,Llay Community,https://w3id.org/qpm/data/admin/W04000992,Higher Kinnerton,https://w3id.org/qpm/data/admin/W04000242,Rossett Community,Rossett Community is the primary east neighbour of Higher Kinnerton,Llay Community is the primary west neighbour of Rossett Community,UNDET,20260620
P081,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000275-darowen,Darowen,https://w3id.org/qpm/data/admin/W04000348-llanwrglyn,Llanwrglyn,https://w3id.org/qpm/data/admin/W04000258-penegroes,Penegroes,Penegroes is the primary west neighbour of Llanwrglyn,Darowen is the primary east neighbour of Penegroes,UNDET,20260620
P082,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000367,Faenor Community,https://w3id.org/qpm/data/admin/W04000398,Tirymynach Community,https://w3id.org/qpm/data/admin/W04000400,Trefeurig,Trefeurig is the primary east neighbour of Tirymynach Community,Faenor Community is the primary west neighbour of Trefeurig,UNDET,20260620
P083,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000451-hakin,Hakin,https://w3id.org/qpm/data/admin/W04000955-thornton,Thornton,https://w3id.org/qpm/data/admin/W04000451-hubberston,Hubberston,Hubberston is the primary west neighbour of Thornton,Hakin is the primary east neighbour of Hubberston,UNDET,20260620
P084,underdetermined,2,unit,n/a,https://w3id.org/qpm/data/admin/W04000556-glanyfferi,Glanyfferi,https://w3id.org/qpm/data/admin/W04000495-pembrey,Pembrey,https://w3id.org/qpm/data/admin/W04000541-llansteffan,Llansteffan,Llansteffan is the primary west neighbour of Pembrey,Glanyfferi is the primary east neighbour of Llansteffan,UNDET,20260620
